time,base_x,base_y,base_z,tau_FL_hip,tau_FL_thigh,tau_FL_calf,tau_FR_hip,tau_FR_thigh,tau_FR_calf,tau_RL_hip,tau_RL_thigh,tau_RL_calf,tau_RR_hip,tau_RR_thigh,tau_RR_calf
0.0,-9.531429123402396e-09,3.0208019531071534e-09,0.42678427906966404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,-3.5568953483308e-07,8.897027204902928e-09,0.42678997406623453,-0.012935016001671231,-1.582927517816501,2.4682699977674396,0.017231873133110098,-1.5844480219268446,2.4703742063343483,-0.009905071749012529,-1.401080419104345,2.206380898195031,0.014118522063999004,-1.4026496349327309,2.2085562405155197
0.002,-1.3303327236754999e-06,1.7415365266343132e-08,0.4267999261633031,-0.025751644810626244,-3.0096816856457504,4.746952531832994,0.03455901290273687,-3.0127999970973103,4.75126661701184,-0.019323147884099272,-2.6273529916459353,4.195003803802241,0.027944522035405674,-2.6305808285849204,4.199477814777112
0.003,-3.192380919446974e-06,2.83218328767121e-08,0.42681492758090406,-0.03841471204435767,-4.291352554402233,6.847261269286471,0.05189203244131651,-4.296126083576738,6.853864859912862,-0.028268398906851854,-3.6930371496988665,5.981539476739033,0.04144106780251984,-3.6979911882478493,5.98840677144376
0.004,-6.170062426285783e-06,4.132846643661913e-08,0.42683567030800107,-0.05089569070393945,-5.438334238844162,8.7797957312661,0.06915315553538168,-5.444802341361635,8.788744751065192,-0.036756685636287006,-4.611418086402009,7.58072747119784,0.054577651817340485,-4.618146093697574,7.59005651923801
0.005,-1.0463093085804769e-05,5.6119477353616077e-08,0.426862753809384,-0.06317174573228529,-6.4603658780515305,10.554574620501672,0.08627495049586481,-6.468551601321632,10.565903521727067,-0.044805131439308664,-5.39489854917319,9.006419761700576,0.06732945739721162,-5.403430389595526,9.01825534151771
0.006,-1.6244775853829464e-05,7.235689864500949e-08,0.4268966922431368,-0.07522490082757247,-7.366570115867354,12.181066371745974,0.10319919787343103,-7.37648185111816,12.194790260321733,-0.05243175903243315,-6.055048429890096,10.271622913934795,0.07967670317993655,-6.065397870462582,10.285988444969819
0.007,-2.366609110728404e-05,8.966975524882886e-08,0.4269379207243776,-0.08704131255306369,-8.165489308570237,13.668217448579924,0.1198758778075599,-8.177122346747417,13.684334095203457,-0.059655183304108086,-6.602652212014782,11.38853898233456,0.09160405745981312,-6.614818620206291,11.405438727916849
0.008,-3.28576640645685e-05,1.0768650489926468e-07,0.4269868016938432,-0.09859963254407345,-8.865121141999241,15.024521410994467,0.13625715945938094,-8.87843375836503,15.042979019009586,-0.06617926864394946,-7.048161900753614,12.369277386751474,0.10279533096797723,-7.062104275594941,12.388661386390698
0.009000000000000001,-4.39291439543013e-05,1.2602812811245814e-07,0.427043631489987,-0.10956603732042369,-9.47332112866714,16.258669233570323,0.15197421554505805,-9.488286233788546,16.279435590064207,-0.07205997520951862,-7.40076194384854,13.224436307656195,0.11326808702181795,-7.41645612075537,13.246277353322645
